window_size,payload_size,run_id,seed,goodput,goodput_mbps,efficiency,utilization,retransmissions,retransmission_rate,frame_error_rate,total_time,rtt_mean,rtt_min,rtt_max,buffer_full_events,backpressure_events,data_valid,complete,error
4,512,0,4554,12540.000642675011,0.10032000514140009,0.4492489119752913,0.022330606144443522,103,1.0098039215686274,0.4975609756097561,4.082934400000007,0.05444467200000008,0.05428159999999993,0.054448000000000274,0,0,True,True,
4,512,1,14554,10566.419522516699,0.08453135618013359,0.36977120406748326,0.02286044863696488,146,1.4313725490196079,0.5846774193548387,4.8455392000000055,0.054446636065573824,0.054281600000000374,0.054448000000000274,0,0,True,True,
4,512,2,24554,9898.705311212192,0.07918964248969754,0.3896736483195324,0.02032204200391863,133,1.303921568627451,0.5531914893617021,5.172393600000005,0.05444727336244545,0.054281600000000374,0.054448000000000274,0,0,True,True,
4,512,3,34554,10808.963062395404,0.08647170449916323,0.4070211142203002,0.021245016899138165,123,1.2058823529411764,0.5288888888888889,4.736809600000005,0.05444724018264846,0.054281600000000374,0.054448000000000274,0,0,True,True,
4,512,4,44554,11467.643327623387,0.0917411466209871,0.4150992346607861,0.022101015603162175,119,1.1666666666666667,0.5248868778280543,4.464736000000006,0.054446444859813155,0.054281600000000374,0.054448000000000274,0,0,True,True,
4,512,5,54554,10334.17492270359,0.08267339938162872,0.4076952478022678,0.02027823474207512,123,1.2058823529411764,0.5333333333333333,4.954435200000005,0.05444647339449546,0.054281600000000374,0.054448000000000274,0,0,True,True,
4,512,6,64554,11903.123453988834,0.09522498763191067,0.4771134635455494,0.019958562251475777,90,0.8823529411764706,0.4479166666666667,4.301392000000005,0.054447090710382604,0.054281600000000374,0.054448000000000274,0,0,True,True,
4,512,7,74554,7530.743063199462,0.0602459445055957,0.34285714285714286,0.017571733814132077,74,1.4230769230769231,0.5873015873015873,3.2124320000000033,0.05444800000000005,0.05444799999999983,0.054448000000000274,0,0,False,False,
4,512,8,84554,6732.0278898298275,0.05385622311863862,0.2938775510204082,0.01832607592231453,29,1.45,0.5918367346938775,1.1978560000000003,0.05444800000000002,0.05444799999999983,0.05444800000000005,0,0,False,False,
4,512,9,94554,11903.123453988828,0.09522498763191063,0.44981726173741915,0.021169705062919132,102,1.0,0.4950980392156863,4.301392000000007,0.05444633600000009,0.05428159999999993,0.054448000000000274,0,0,True,True,
